zip,state,district,source_name,source_type,source_url,source_retrieved_at,source_effective_date,source_version,source_currentness,confidence,ambiguity_detection_level,fixture_sample_only,stale_or_unknown_source
09989,NC,05,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09990,NC,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09991,NC,02,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09991,NC,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09992,NC,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09992,SC,07,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09990,NC,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
9999X,NC,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09993,NORTH,04,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09994,NC,,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,119th-congressional-district-to-2020-zcta-relationship-file,current,source_backed,multi_row_source,false,false
09995,NC,06,U.S. Census Bureau 119th Congressional District to 2020 ZCTA Relationship File,official_government_relationship_file,https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.2020.html,2026-07-10,2025-01-03,,current,source_backed,multi_row_source,false,false
