category,official,party,state,district,in_office,common_domains,continuity_change_claim_allowed,safest_user_facing_framing
required_valerie_foushee,Valerie P. Foushee,D,NC,04,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
required_aaron_bean,Aaron Bean,R,FL,04,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
strong_evidence_both,Austin Scott,R,GA,08,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
apparent_continuity,Ben Cline,R,VA,06,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
apparent_change,Thomas R. Suozzi,D,NY,03,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
agenda_difference_unsafe,"Charles J. ""Chuck"" Fleischmann",R,TN,03,True,"[""ECONOMY_TAXES"", ""EDUCATION_WORKFORCE"", ""ENVIRONMENT_ENERGY"", ""HEALTH_SOCIAL"", ""IMMIGRATION_BORDER"", ""JUSTICE_PUBLIC_SAFETY"", ""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
118th_only,Allred,D,TX,00,False,[],False,Record across Congresses with single-Congress or insufficient-comparison language.
119th_only,Abraham J. Hamadeh,R,AZ,08,True,[],False,Record across Congresses with single-Congress or insufficient-comparison language.
sparse_profile,James Gallagher,R,CA,01,True,[],False,Record across Congresses with single-Congress or insufficient-comparison language.
meaningful_not_voting_burden,Aumua Amata Coleman Radewagen,R,AS,00,True,"[""NATIONAL_SECURITY_FOREIGN""]",False,Record across Congresses; do not state continuity/change.
